Timestamp,Heart Rate(bpm)
Aug 14 2025 13:09:30.230,68
Aug 14 2025 13:09:31.227,68
Aug 14 2025 13:09:33.220,68
Aug 14 2025 13:09:33.263,70
Aug 14 2025 13:09:37.83,70
Aug 14 2025 13:09:38.79,70
Aug 14 2025 13:09:39.76,72
Aug 14 2025 13:09:42.896,72
Aug 14 2025 13:09:54.773,70
Aug 14 2025 13:09:55.770,70
Aug 14 2025 13:09:56.807,70
Aug 14 2025 13:09:57.721,70
Aug 14 2025 13:10:8.642,70
Aug 14 2025 13:10:10.635,70
Aug 14 2025 13:10:12.587,70
Aug 14 2025 13:10:13.584,69
Aug 14 2025 13:10:14.581,67
Aug 14 2025 13:10:23.552,67
Aug 14 2025 13:10:25.545,57
Aug 14 2025 13:10:26.584,57
Aug 14 2025 13:10:28.494,56
Aug 14 2025 13:10:30.487,56
Aug 14 2025 13:10:32.480,55
Aug 14 2025 13:10:33.477,55
Aug 14 2025 13:10:35.470,55
Aug 14 2025 13:10:36.467,56
Aug 14 2025 13:10:37.463,56
Aug 14 2025 13:10:38.460,58
Aug 14 2025 13:10:40.453,58
Aug 14 2025 13:10:43.401,59
Aug 14 2025 13:10:44.398,59
Aug 14 2025 13:10:52.371,59
Aug 14 2025 13:10:53.368,59
Aug 14 2025 13:10:55.319,61
Aug 14 2025 13:10:57.313,61
Aug 14 2025 13:10:59.306,62
Aug 14 2025 13:11:2.296,62
Aug 14 2025 13:11:3.292,62
Aug 14 2025 13:11:4.289,62
Aug 14 2025 13:11:6.282,62
Aug 14 2025 13:11:7.279,62
Aug 14 2025 13:11:9.272,62
Aug 14 2025 13:11:11.224,63
Aug 14 2025 13:11:13.217,63
Aug 14 2025 13:11:14.214,62
Aug 14 2025 13:11:15.210,62
Aug 14 2025 13:11:17.204,62
Aug 14 2025 13:11:18.200,62
Aug 14 2025 13:11:20.194,62
Aug 14 2025 13:11:22.187,62
Aug 14 2025 13:11:24.180,62
Aug 14 2025 13:11:26.173,62
Aug 14 2025 13:11:28.166,62
Aug 14 2025 13:11:29.79,62
Aug 14 2025 13:11:31.72,62
Aug 14 2025 13:11:33.65,62
Aug 14 2025 13:11:35.58,62
Aug 14 2025 13:11:37.9,62
Aug 14 2025 13:11:39.2,62
Aug 14 2025 13:11:40.995,60
Aug 14 2025 13:11:45.935,59
Aug 14 2025 13:11:55.858,58
Aug 14 2025 13:11:56.857,58
Aug 14 2025 13:11:58.847,58
Aug 14 2025 13:11:59.843,58
Aug 14 2025 13:12:0.839,57
Aug 14 2025 13:12:2.832,57
Aug 14 2025 13:12:3.828,57
Aug 14 2025 13:12:5.821,57
Aug 14 2025 13:12:9.806,57
Aug 14 2025 13:12:10.803,58
Aug 14 2025 13:12:12.796,58
Aug 14 2025 13:12:13.792,61
Aug 14 2025 13:12:15.784,61
Aug 14 2025 13:12:17.777,61
Aug 14 2025 13:12:18.732,62
Aug 14 2025 13:12:19.728,62
Aug 14 2025 13:12:20.724,62
Aug 14 2025 13:12:23.672,62
Aug 14 2025 13:12:24.668,62
Aug 14 2025 13:12:26.660,62
Aug 14 2025 13:12:28.653,62
Aug 14 2025 13:12:29.652,63
Aug 14 2025 13:12:31.642,63
Aug 14 2025 13:12:33.634,63
Aug 14 2025 13:12:34.589,64
Aug 14 2025 13:12:36.582,64
Aug 14 2025 13:12:38.574,64
Aug 14 2025 13:12:39.571,65
Aug 14 2025 13:12:41.563,65
Aug 14 2025 13:12:43.556,65
Aug 14 2025 13:12:45.548,65
Aug 14 2025 13:12:46.545,64
Aug 14 2025 13:12:48.537,64
Aug 14 2025 13:12:50.530,64
Aug 14 2025 13:12:51.526,64
Aug 14 2025 13:12:52.522,64
Aug 14 2025 13:12:54.515,64
Aug 14 2025 13:12:56.507,64
Aug 14 2025 13:12:58.500,62
Aug 14 2025 13:13:0.492,62
Aug 14 2025 13:13:2.443,62
Aug 14 2025 13:13:4.394,63
Aug 14 2025 13:13:6.387,63
Aug 14 2025 13:13:8.379,63
Aug 14 2025 13:13:9.375,63
Aug 14 2025 13:13:11.368,63
Aug 14 2025 13:13:13.319,61
Aug 14 2025 13:13:17.304,60
Aug 14 2025 13:13:19.296,60
Aug 14 2025 13:13:21.247,60
Aug 14 2025 13:13:25.232,60
Aug 14 2025 13:13:36.190,60
Aug 14 2025 13:13:37.228,60
Aug 14 2025 13:13:39.221,60
Aug 14 2025 13:13:41.130,60
Aug 14 2025 13:13:42.126,60
Aug 14 2025 13:13:45.115,60
Aug 14 2025 13:13:47.107,60
Aug 14 2025 13:13:49.100,60
Aug 14 2025 13:13:51.92,60
Aug 14 2025 13:13:53.43,61
Aug 14 2025 13:13:55.35,61
Aug 14 2025 13:13:55.77,61
Aug 14 2025 13:13:55.990,63
Aug 14 2025 13:13:56.987,63
Aug 14 2025 13:13:58.979,64
Aug 14 2025 13:14:0.971,64
Aug 14 2025 13:14:2.964,64
Aug 14 2025 13:14:4.956,64
Aug 14 2025 13:14:6.948,64
Aug 14 2025 13:14:8.899,64
Aug 14 2025 13:14:10.891,64
Aug 14 2025 13:14:12.883,64
Aug 14 2025 13:14:13.879,63
Aug 14 2025 13:14:15.871,63
Aug 14 2025 13:14:17.864,63
Aug 14 2025 13:14:19.856,63
Aug 14 2025 13:14:21.848,63
Aug 14 2025 13:14:23.840,63
Aug 14 2025 13:14:25.832,63
Aug 14 2025 13:14:27.825,63
Aug 14 2025 13:14:29.817,63
Aug 14 2025 13:14:31.809,63
Aug 14 2025 13:14:33.801,63
Aug 14 2025 13:14:34.756,65
Aug 14 2025 13:14:36.706,65
Aug 14 2025 13:14:37.702,65
Aug 14 2025 13:14:38.698,65
Aug 14 2025 13:14:39.694,65
Aug 14 2025 13:14:41.686,65
Aug 14 2025 13:14:43.678,64
Aug 14 2025 13:14:45.670,63
